filename,document,page,gap_index,bit,shift,word
000231.png,DOC001,0,231,1,0.12,The
000232.png,DOC001,0,232,0,-0.12,rapid
000233.png,DOC001,0,233,1,0.12,advancement
000234.png,DOC001,0,234,0,-0.12,of
000235.png,DOC001,0,235,0,-0.12,artificial
000236.png,DOC001,0,236,0,-0.12,intelligence
000237.png,DOC001,0,237,0,-0.12,and
000238.png,DOC001,0,238,0,-0.12,machine
000239.png,DOC001,0,239,0,-0.12,has
000240.png,DOC001,0,240,0,-0.12,fundamentally
000241.png,DOC001,0,241,0,-0.12,altered
000242.png,DOC001,0,242,1,0.12,the
000243.png,DOC001,0,243,1,0.12,landscape
000244.png,DOC001,0,244,0,-0.12,of
000245.png,DOC001,0,245,0,-0.12,modern
000246.png,DOC001,0,246,1,0.12,computing.
000247.png,DOC001,0,247,1,0.12,When
000248.png,DOC001,0,248,0,-0.12,scalable
000249.png,DOC001,0,249,0,-0.12,distributed
000250.png,DOC001,0,250,0,-0.12,"systems,"
000251.png,DOC001,0,251,0,-0.12,engineers
000252.png,DOC001,0,252,0,-0.12,must
000253.png,DOC001,0,253,0,-0.12,carefully
000254.png,DOC001,0,254,1,0.12,consider
000255.png,DOC001,0,255,1,0.12,the
000256.png,DOC001,0,256,1,0.12,between
000257.png,DOC001,0,257,0,-0.12,"latency,"
000258.png,DOC001,0,258,1,0.12,"throughput,"
000259.png,DOC001,0,259,0,-0.12,and
000260.png,DOC001,0,260,0,-0.12,fault
000261.png,DOC001,0,261,0,-0.12,tolerance.
000262.png,DOC001,0,262,0,-0.12,In
000263.png,DOC001,0,263,0,-0.12,the
000264.png,DOC001,0,264,0,-0.12,context
000265.png,DOC001,0,265,0,-0.12,of
000266.png,DOC001,0,266,0,-0.12,"steganography,"
000267.png,DOC001,0,267,1,0.12,the
000268.png,DOC001,0,268,0,-0.12,primary
000269.png,DOC001,0,269,0,-0.12,challenge
000270.png,DOC001,0,270,0,-0.12,is
000271.png,DOC001,0,271,1,0.12,overcoming
000272.png,DOC001,0,272,0,-0.12,the
000273.png,DOC001,0,273,0,-0.12,physical
000274.png,DOC001,0,274,0,-0.12,channel
000275.png,DOC001,0,275,0,-0.12,introduced
000276.png,DOC001,0,276,1,0.12,by
000277.png,DOC001,0,277,0,-0.12,printers
000278.png,DOC001,0,278,1,0.12,and
000279.png,DOC001,0,279,0,-0.12,smartphone
000280.png,DOC001,0,280,0,-0.12,cameras.
000281.png,DOC001,0,281,1,0.12,This
000282.png,DOC001,0,282,0,-0.12,requires
000283.png,DOC001,0,283,1,0.12,highly
000284.png,DOC001,0,284,0,-0.12,error
000285.png,DOC001,0,285,1,0.12,correction
000286.png,DOC001,0,286,0,-0.12,"mechanisms,"
000287.png,DOC001,0,287,0,-0.12,such
000288.png,DOC001,0,288,0,-0.12,as
000289.png,DOC001,0,289,0,-0.12,Reed-Solomon
000290.png,DOC001,0,290,1,0.12,"coding,"
000291.png,DOC001,0,291,1,0.12,combined
000292.png,DOC001,0,292,1,0.12,deep
000293.png,DOC001,0,293,1,0.12,learning-based
000294.png,DOC001,0,294,1,0.12,document
000295.png,DOC001,0,295,0,-0.12,dewarping
000296.png,DOC001,0,296,0,-0.12,and
000297.png,DOC001,0,297,0,-0.12,residual
000298.png,DOC001,0,298,0,-0.12,feature
000299.png,DOC001,0,299,0,-0.12,extraction
000300.png,DOC001,0,300,0,-0.12,reliably
000301.png,DOC001,0,301,1,0.12,recover
000302.png,DOC001,0,302,0,-0.12,the
000303.png,DOC001,0,303,0,-0.12,embedded
000304.png,DOC001,0,304,0,-0.12,cryptographic
000305.png,DOC001,0,305,0,-0.12,QUESTION
000306.png,DOC001,0,306,0,-0.12,The
000307.png,DOC001,0,307,0,-0.12,rapid
000308.png,DOC001,0,308,0,-0.12,advancement
000309.png,DOC001,0,309,0,-0.12,of
000310.png,DOC001,0,310,0,-0.12,artificial
000311.png,DOC001,0,311,0,-0.12,intelligence
000312.png,DOC001,0,312,1,0.12,and
000313.png,DOC001,0,313,1,0.12,machine
000314.png,DOC001,0,314,0,-0.12,has
000315.png,DOC001,0,315,0,-0.12,fundamentally
000316.png,DOC001,0,316,1,0.12,altered
000317.png,DOC001,0,317,0,-0.12,the
000318.png,DOC001,0,318,0,-0.12,landscape
000319.png,DOC001,0,319,0,-0.12,of
000320.png,DOC001,0,320,0,-0.12,modern
000321.png,DOC001,0,321,0,-0.12,computing.
000322.png,DOC001,0,322,1,0.12,When
000323.png,DOC001,0,323,0,-0.12,scalable
000324.png,DOC001,0,324,0,-0.12,distributed
000325.png,DOC001,0,325,1,0.12,"systems,"
000326.png,DOC001,0,326,0,-0.12,engineers
000327.png,DOC001,0,327,0,-0.12,must
000328.png,DOC001,0,328,0,-0.12,carefully
000329.png,DOC001,0,329,0,-0.12,consider
000330.png,DOC001,0,330,0,-0.12,the
000331.png,DOC001,0,331,0,-0.12,between
000332.png,DOC001,0,332,0,-0.12,"latency,"
000333.png,DOC001,0,333,0,-0.12,"throughput,"
000334.png,DOC001,0,334,1,0.12,and
000335.png,DOC001,0,335,1,0.12,fault
000336.png,DOC001,0,336,1,0.12,tolerance.
000337.png,DOC001,0,337,0,-0.12,In
000338.png,DOC001,0,338,0,-0.12,the
000339.png,DOC001,0,339,0,-0.12,context
000340.png,DOC001,0,340,0,-0.12,of
000341.png,DOC001,0,341,1,0.12,"steganography,"
000342.png,DOC001,0,342,0,-0.12,the
000343.png,DOC001,0,343,1,0.12,primary
000344.png,DOC001,0,344,0,-0.12,challenge
000345.png,DOC001,0,345,0,-0.12,is
000346.png,DOC001,0,346,1,0.12,overcoming
000347.png,DOC001,0,347,0,-0.12,the
000348.png,DOC001,0,348,1,0.12,physical
000349.png,DOC001,0,349,0,-0.12,channel
000350.png,DOC001,0,350,1,0.12,introduced
000351.png,DOC001,0,351,0,-0.12,by
000352.png,DOC001,0,352,0,-0.12,printers
000353.png,DOC001,0,353,1,0.12,and
000354.png,DOC001,0,354,1,0.12,smartphone
000355.png,DOC001,0,355,0,-0.12,cameras.
000356.png,DOC001,0,356,1,0.12,This
000357.png,DOC001,0,357,1,0.12,requires
000358.png,DOC001,0,358,0,-0.12,highly
000359.png,DOC001,0,359,0,-0.12,error
000360.png,DOC001,0,360,1,0.12,correction
000361.png,DOC001,0,361,1,0.12,"mechanisms,"
000362.png,DOC001,0,362,0,-0.12,such
000363.png,DOC001,0,363,0,-0.12,as
000364.png,DOC001,0,364,0,-0.12,Reed-Solomon
000365.png,DOC001,0,365,0,-0.12,"coding,"
000366.png,DOC001,0,366,0,-0.12,combined
000367.png,DOC001,0,367,0,-0.12,deep
000368.png,DOC001,0,368,0,-0.12,learning-based
000369.png,DOC001,0,369,0,-0.12,document
000370.png,DOC001,0,370,0,-0.12,dewarping
000371.png,DOC001,0,371,0,-0.12,and
000372.png,DOC001,0,372,0,-0.12,residual
000373.png,DOC001,0,373,1,0.12,feature
000374.png,DOC001,0,374,0,-0.12,extraction
000375.png,DOC001,1,0,0,-0.12,CONFIDENTIAL
000376.png,DOC001,1,1,0,-0.12,ENGINEERING
000377.png,DOC001,1,2,0,-0.12,EXAM
000378.png,DOC001,1,3,1,0.12,-
000379.png,DOC001,1,4,1,0.12,PAGE
000380.png,DOC001,1,5,0,-0.12,QUESTION
000381.png,DOC001,1,6,0,-0.12,The
000382.png,DOC001,1,7,0,-0.12,rapid
000383.png,DOC001,1,8,0,-0.12,advancement
000384.png,DOC001,1,9,0,-0.12,of
000385.png,DOC001,1,10,1,0.12,artificial
000386.png,DOC001,1,11,0,-0.12,intelligence
000387.png,DOC001,1,12,0,-0.12,and
000388.png,DOC001,1,13,0,-0.12,machine
000389.png,DOC001,1,14,1,0.12,has
000390.png,DOC001,1,15,1,0.12,fundamentally
000391.png,DOC001,1,16,1,0.12,altered
000392.png,DOC001,1,17,1,0.12,the
000393.png,DOC001,1,18,1,0.12,landscape
000394.png,DOC001,1,19,0,-0.12,of
000395.png,DOC001,1,20,1,0.12,modern
000396.png,DOC001,1,21,0,-0.12,computing.
000397.png,DOC001,1,22,0,-0.12,When
000398.png,DOC001,1,23,0,-0.12,scalable
000399.png,DOC001,1,24,0,-0.12,distributed
000400.png,DOC001,1,25,1,0.12,"systems,"
000401.png,DOC001,1,26,0,-0.12,engineers
000402.png,DOC001,1,27,0,-0.12,must
000403.png,DOC001,1,28,0,-0.12,carefully
000404.png,DOC001,1,29,0,-0.12,consider
000405.png,DOC001,1,30,0,-0.12,the
000406.png,DOC001,1,31,0,-0.12,between
000407.png,DOC001,1,32,0,-0.12,"latency,"
000408.png,DOC001,1,33,0,-0.12,"throughput,"
000409.png,DOC001,1,34,0,-0.12,and
000410.png,DOC001,1,35,1,0.12,fault
000411.png,DOC001,1,36,1,0.12,tolerance.
000412.png,DOC001,1,37,1,0.12,In
000413.png,DOC001,1,38,1,0.12,the
000414.png,DOC001,1,39,0,-0.12,context
000415.png,DOC001,1,40,0,-0.12,of
000416.png,DOC001,1,41,1,0.12,"steganography,"
000417.png,DOC001,1,42,0,-0.12,the
000418.png,DOC001,1,43,0,-0.12,primary
000419.png,DOC001,1,44,1,0.12,challenge
000420.png,DOC001,1,45,1,0.12,is
000421.png,DOC001,1,46,0,-0.12,overcoming
000422.png,DOC001,1,47,1,0.12,the
000423.png,DOC001,1,48,0,-0.12,physical
000424.png,DOC001,1,49,0,-0.12,channel
000425.png,DOC001,1,50,0,-0.12,introduced
000426.png,DOC001,1,51,1,0.12,by
000427.png,DOC001,1,52,1,0.12,printers
000428.png,DOC001,1,53,0,-0.12,and
000429.png,DOC001,1,54,0,-0.12,smartphone
000430.png,DOC001,1,55,1,0.12,cameras.
000431.png,DOC001,1,56,0,-0.12,This
000432.png,DOC001,1,57,0,-0.12,requires
000433.png,DOC001,1,58,0,-0.12,highly
000434.png,DOC001,1,59,1,0.12,error
000435.png,DOC001,1,60,0,-0.12,correction
000436.png,DOC001,1,61,0,-0.12,"mechanisms,"
000437.png,DOC001,1,62,0,-0.12,such
000438.png,DOC001,1,63,0,-0.12,as
000439.png,DOC001,1,64,0,-0.12,Reed-Solomon
000440.png,DOC001,1,65,1,0.12,"coding,"
000441.png,DOC001,1,66,1,0.12,combined
000442.png,DOC001,1,67,0,-0.12,deep
000443.png,DOC001,1,68,0,-0.12,learning-based
000444.png,DOC001,1,69,1,0.12,document
000445.png,DOC001,1,70,1,0.12,dewarping
000446.png,DOC001,1,71,0,-0.12,and
000447.png,DOC001,1,72,0,-0.12,residual
000448.png,DOC001,1,73,1,0.12,feature
000449.png,DOC001,1,74,0,-0.12,extraction
000450.png,DOC001,1,75,1,0.12,reliably
000451.png,DOC001,1,76,0,-0.12,recover
000452.png,DOC001,1,77,0,-0.12,the
000453.png,DOC001,1,78,0,-0.12,embedded
000454.png,DOC001,1,79,0,-0.12,cryptographic
000455.png,DOC001,1,80,1,0.12,QUESTION
000456.png,DOC001,1,81,0,-0.12,The
000457.png,DOC001,1,82,1,0.12,rapid
000458.png,DOC001,1,83,0,-0.12,advancement
000459.png,DOC001,1,84,0,-0.12,of
000460.png,DOC001,1,85,0,-0.12,artificial
000461.png,DOC001,1,86,0,-0.12,intelligence
000462.png,DOC001,1,87,0,-0.12,and
000463.png,DOC001,1,88,0,-0.12,machine
000464.png,DOC001,1,89,1,0.12,has
000465.png,DOC001,1,90,0,-0.12,fundamentally
000466.png,DOC001,1,91,1,0.12,altered
000467.png,DOC001,1,92,0,-0.12,the
000468.png,DOC001,1,93,0,-0.12,landscape
000469.png,DOC001,1,94,0,-0.12,of
000470.png,DOC001,1,95,0,-0.12,modern
000471.png,DOC001,1,96,1,0.12,computing.
000472.png,DOC001,1,97,0,-0.12,When
000473.png,DOC001,1,98,0,-0.12,scalable
000474.png,DOC001,1,99,0,-0.12,distributed
000475.png,DOC001,1,100,1,0.12,"systems,"
000476.png,DOC001,1,101,0,-0.12,engineers
000477.png,DOC001,1,102,0,-0.12,must
000478.png,DOC001,1,103,1,0.12,carefully
000479.png,DOC001,1,104,0,-0.12,consider
000480.png,DOC001,1,105,0,-0.12,the
000481.png,DOC001,1,106,1,0.12,between
000482.png,DOC001,1,107,0,-0.12,"latency,"
000483.png,DOC001,1,108,0,-0.12,"throughput,"
000484.png,DOC001,1,109,0,-0.12,and
000485.png,DOC001,1,110,0,-0.12,fault
000486.png,DOC001,1,111,0,-0.12,tolerance.
000487.png,DOC001,1,112,0,-0.12,In
000488.png,DOC001,1,113,0,-0.12,the
000489.png,DOC001,1,114,0,-0.12,context
000490.png,DOC001,1,115,0,-0.12,of
000491.png,DOC001,1,116,1,0.12,"steganography,"
000492.png,DOC001,1,117,0,-0.12,the
000493.png,DOC001,1,118,0,-0.12,primary
000494.png,DOC001,1,119,1,0.12,challenge
000495.png,DOC001,1,120,0,-0.12,is
000496.png,DOC001,1,121,0,-0.12,overcoming
000497.png,DOC001,1,122,0,-0.12,the
000498.png,DOC001,1,123,0,-0.12,physical
000499.png,DOC001,1,124,1,0.12,channel
000500.png,DOC001,1,125,0,-0.12,introduced
000501.png,DOC001,1,126,0,-0.12,by
000502.png,DOC001,1,127,0,-0.12,printers
000503.png,DOC001,1,128,0,-0.12,and
000504.png,DOC001,1,129,1,0.12,smartphone
000505.png,DOC001,1,130,1,0.12,cameras.
000506.png,DOC001,1,131,0,-0.12,This
000507.png,DOC001,1,132,0,-0.12,requires
000508.png,DOC001,1,133,0,-0.12,highly
000509.png,DOC001,1,134,1,0.12,error
000510.png,DOC001,1,135,0,-0.12,correction
000511.png,DOC001,1,136,0,-0.12,"mechanisms,"
000512.png,DOC001,1,137,1,0.12,such
000513.png,DOC001,1,138,1,0.12,as
000514.png,DOC001,1,139,0,-0.12,Reed-Solomon
000515.png,DOC001,1,140,0,-0.12,"coding,"
000516.png,DOC001,1,141,0,-0.12,combined
000517.png,DOC001,1,142,0,-0.12,deep
000518.png,DOC001,1,143,0,-0.12,learning-based
000519.png,DOC001,1,144,0,-0.12,document
000520.png,DOC001,1,145,0,-0.12,dewarping
000521.png,DOC001,1,146,0,-0.12,and
000522.png,DOC001,1,147,1,0.12,residual
000523.png,DOC001,1,148,0,-0.12,feature
000524.png,DOC001,1,149,0,-0.12,extraction
000525.png,DOC001,1,150,1,0.12,reliably
000526.png,DOC001,1,151,0,-0.12,recover
000527.png,DOC001,1,152,1,0.12,the
000528.png,DOC001,1,153,0,-0.12,embedded
000529.png,DOC001,1,154,0,-0.12,cryptographic
000530.png,DOC001,1,155,0,-0.12,QUESTION
000531.png,DOC001,1,156,0,-0.12,The
000532.png,DOC001,1,157,0,-0.12,rapid
000533.png,DOC001,1,158,0,-0.12,advancement
000534.png,DOC001,1,159,1,0.12,of
000535.png,DOC001,1,160,0,-0.12,artificial
000536.png,DOC001,1,161,1,0.12,intelligence
000537.png,DOC001,1,162,0,-0.12,and
000538.png,DOC001,1,163,1,0.12,machine
000539.png,DOC001,1,164,0,-0.12,has
000540.png,DOC001,1,165,0,-0.12,fundamentally
000541.png,DOC001,1,166,0,-0.12,altered
000542.png,DOC001,1,167,0,-0.12,the
000543.png,DOC001,1,168,0,-0.12,landscape
000544.png,DOC001,1,169,0,-0.12,of
000545.png,DOC001,1,170,1,0.12,modern
000546.png,DOC001,1,171,0,-0.12,computing.
000547.png,DOC001,1,172,1,0.12,When
000548.png,DOC001,1,173,1,0.12,scalable
000549.png,DOC001,1,174,0,-0.12,distributed
000550.png,DOC001,1,175,1,0.12,"systems,"
000551.png,DOC001,1,176,0,-0.12,engineers
000552.png,DOC001,1,177,1,0.12,must
000553.png,DOC001,1,178,1,0.12,carefully
000554.png,DOC001,1,179,1,0.12,consider
000555.png,DOC001,1,180,0,-0.12,the
000556.png,DOC001,1,181,0,-0.12,between
000557.png,DOC001,1,182,0,-0.12,"latency,"
000558.png,DOC001,1,183,0,-0.12,"throughput,"
000559.png,DOC001,1,184,0,-0.12,and
000560.png,DOC001,1,185,0,-0.12,fault
000561.png,DOC001,1,186,0,-0.12,tolerance.
000562.png,DOC001,1,187,1,0.12,In
000563.png,DOC001,1,188,0,-0.12,the
000564.png,DOC001,1,189,1,0.12,context
000565.png,DOC001,1,190,0,-0.12,of
000566.png,DOC001,1,191,1,0.12,"steganography,"
000567.png,DOC001,1,192,0,-0.12,the
000568.png,DOC001,1,193,0,-0.12,primary
000569.png,DOC001,1,194,0,-0.12,challenge
000570.png,DOC001,1,195,1,0.12,is
000571.png,DOC001,1,196,0,-0.12,overcoming
000572.png,DOC001,1,197,0,-0.12,the
000573.png,DOC001,1,198,0,-0.12,physical
000574.png,DOC001,1,199,0,-0.12,channel
